PrandtlRib12 airfoil
1.000000000 0.010374623
0.960910000 0.012166738
0.948330000 0.013045068
0.935710000 0.014193849
0.923070000 0.015577699
0.897780000 0.018658284
0.885150000 0.020313246
0.847280000 0.026011188
0.822060000 0.029946729
0.809440000 0.031927991
0.796830000 0.033890177
0.784220000 0.035837841
0.771600000 0.037775082
0.733740000 0.043500904
0.721120000 0.045375248
0.695870000 0.049074299
0.683250000 0.050893286
0.670630000 0.052692557
0.658010000 0.054468641
0.620170000 0.059634829
0.607560000 0.061293160
0.594950000 0.062913047
0.569750000 0.066030996
0.557150000 0.067513069
0.544550000 0.068947762
0.506780000 0.072850760
0.494200000 0.074000234
0.481620000 0.075081189
0.469040000 0.076070954
0.431320000 0.078503843
0.406200000 0.079673168
0.381080000 0.080408814
0.368530000 0.080601034
0.355990000 0.080676111
0.343460000 0.080683890
0.330930000 0.080597529
0.293420000 0.079468762
0.268480000 0.078129987
0.256040000 0.077269204
0.243620000 0.076300956
0.231220000 0.075196950
0.218850000 0.073973844
0.206520000 0.072606859
0.157620000 0.065690824
0.145540000 0.063555633
0.133550000 0.061252160
0.121660000 0.058751405
0.098250000 0.053105006
0.075560000 0.046511988
0.064600000 0.042837487
0.034520000 0.029995905
0.026190000 0.025661549
0.019250000 0.021405100
0.013840000 0.017222528
0.006810000 0.010461125
0.004600000 0.008022778
0.001740000 0.004595953
0.000280000 0.001265356
0.000020000 0.000187377
0.000000000 0.000000000
0.000020000 -0.000212926
0.000280000 -0.001638848
0.001740000 -0.005636237
0.004600000 -0.008549725
0.006810000 -0.010206031
0.013840000 -0.014028513
0.019250000 -0.016305716
0.026190000 -0.018796896
0.034520000 -0.021252116
0.064600000 -0.026801149
0.075560000 -0.028197729
0.098250000 -0.030315635
0.121660000 -0.031786641
0.133550000 -0.032308166
0.145540000 -0.032735183
0.157620000 -0.033047704
0.206520000 -0.033445765
0.218850000 -0.033370463
0.231220000 -0.033242579
0.243620000 -0.033064293
0.256040000 -0.032840458
0.268480000 -0.032571725
0.293420000 -0.031927815
0.330930000 -0.030730547
0.343460000 -0.030279500
0.355990000 -0.029812618
0.368530000 -0.029323356
0.381080000 -0.028813276
0.406200000 -0.027739397
0.431320000 -0.026612192
0.469040000 -0.024847000
0.481620000 -0.024237326
0.494200000 -0.023618971
0.506780000 -0.022995148
0.544550000 -0.021097389
0.557150000 -0.020456276
0.569750000 -0.019813596
0.594950000 -0.018522975
0.607560000 -0.017875596
0.620170000 -0.017230488
0.658010000 -0.015296487
0.670630000 -0.014656807
0.683250000 -0.014022321
0.695870000 -0.013392395
0.721120000 -0.012144960
0.733740000 -0.011528070
0.771600000 -0.009713327
0.784220000 -0.009119297
0.796830000 -0.008528554
0.809440000 -0.007950794
0.822060000 -0.007374548
0.847280000 -0.005887006
0.885150000 -0.003052171
0.897780000 -0.002004202
0.923070000 0.000485342
0.935710000 0.001904471
0.948330000 0.003363262
0.960910000 0.004832125
1.000000000 0.010374623
