PrandtlRib26 airfoil
1.000000000 0.003245953
0.960910000 0.006355457
0.948330000 0.007411860
0.935710000 0.008554171
0.923070000 0.009765710
0.897780000 0.012271127
0.885150000 0.013554012
0.847280000 0.017566102
0.822060000 0.020252297
0.809440000 0.021584208
0.796830000 0.022903731
0.784220000 0.024212063
0.771600000 0.025510285
0.733740000 0.029338133
0.721120000 0.030590328
0.695870000 0.033059552
0.683250000 0.034275075
0.670630000 0.035478041
0.658010000 0.036667537
0.620170000 0.040119692
0.607560000 0.041226621
0.594950000 0.042316065
0.569750000 0.044418683
0.557150000 0.045427650
0.544550000 0.046409411
0.506780000 0.049138621
0.494200000 0.049971641
0.481620000 0.050764523
0.469040000 0.051511304
0.431320000 0.053470485
0.406200000 0.054537150
0.381080000 0.055379162
0.368530000 0.055709746
0.355990000 0.055980029
0.343460000 0.056195760
0.330930000 0.056357244
0.293420000 0.056384411
0.268480000 0.056046839
0.256040000 0.055754001
0.243620000 0.055381304
0.231220000 0.054913934
0.218850000 0.054363643
0.206520000 0.053709174
0.157620000 0.049958638
0.145540000 0.048689377
0.133550000 0.047280042
0.121660000 0.045693528
0.098250000 0.041982370
0.075560000 0.037403155
0.064600000 0.034748812
0.034520000 0.025187343
0.026190000 0.021710934
0.019250000 0.018291868
0.013840000 0.015069086
0.006810000 0.009797138
0.004600000 0.007733363
0.001740000 0.004414724
0.000280000 0.001519304
0.000020000 0.000329310
0.000000000 0.000000000
0.000020000 -0.000336033
0.000280000 -0.001617592
0.001740000 -0.004688483
0.004600000 -0.007872033
0.006810000 -0.009730008
0.013840000 -0.014228556
0.019250000 -0.016949925
0.026190000 -0.019904446
0.034520000 -0.022886346
0.064600000 -0.030528724
0.075560000 -0.032583613
0.098250000 -0.035985167
0.121660000 -0.038597537
0.133550000 -0.039663202
0.145540000 -0.040578732
0.157620000 -0.041368343
0.206520000 -0.043403622
0.218850000 -0.043678543
0.231220000 -0.043873310
0.243620000 -0.044003235
0.256040000 -0.044062226
0.268480000 -0.044057822
0.293420000 -0.043873635
0.330930000 -0.043234354
0.343460000 -0.042931447
0.355990000 -0.042594899
0.368530000 -0.042215620
0.381080000 -0.041801388
0.406200000 -0.040870368
0.431320000 -0.039814787
0.469040000 -0.038031316
0.481620000 -0.037384560
0.494200000 -0.036713413
0.506780000 -0.036018723
0.544550000 -0.033817208
0.557150000 -0.033044283
0.569750000 -0.032256209
0.594950000 -0.030634467
0.607560000 -0.029800946
0.620170000 -0.028960655
0.658010000 -0.026359076
0.670630000 -0.025468633
0.683250000 -0.024572190
0.695870000 -0.023669578
0.721120000 -0.021845516
0.733740000 -0.020924229
0.771600000 -0.018125612
0.784220000 -0.017180868
0.796830000 -0.016229619
0.809440000 -0.015274419
0.822060000 -0.014312250
0.847280000 -0.012270265
0.885150000 -0.009011624
0.897780000 -0.007888474
0.923070000 -0.005538594
0.935710000 -0.004317771
0.948330000 -0.003093878
0.960910000 -0.001882072
1.000000000 0.003245953
