PrandtlRib29 airfoil
1.000000000 0.001718381
0.960910000 0.005110183
0.948330000 0.006204744
0.935710000 0.007345668
0.923070000 0.008520284
0.897780000 0.010902451
0.885150000 0.012105605
0.847280000 0.015756441
0.822060000 0.018174919
0.809440000 0.019367683
0.796830000 0.020549492
0.784220000 0.021720825
0.771600000 0.022882114
0.733740000 0.026303253
0.721120000 0.027422131
0.695870000 0.029627821
0.683250000 0.030714030
0.670630000 0.031789217
0.658010000 0.032853015
0.620170000 0.035937877
0.607560000 0.036926648
0.594950000 0.037902426
0.569750000 0.039787473
0.557150000 0.040695060
0.544550000 0.041579764
0.506780000 0.044057448
0.494200000 0.044822656
0.481620000 0.045553809
0.469040000 0.046248521
0.431320000 0.048106194
0.406200000 0.049150860
0.381080000 0.050015665
0.368530000 0.050375898
0.355990000 0.050688012
0.343460000 0.050948304
0.330930000 0.051162898
0.293420000 0.051437764
0.268480000 0.051314736
0.256040000 0.051143600
0.243620000 0.050898522
0.231220000 0.050567574
0.218850000 0.050161457
0.206520000 0.049659669
0.157620000 0.046587455
0.145540000 0.045503751
0.133550000 0.044286017
0.121660000 0.042895411
0.098250000 0.039598948
0.075560000 0.035451262
0.064600000 0.033015525
0.034520000 0.024156937
0.026190000 0.020864374
0.019250000 0.017624747
0.013840000 0.014607634
0.006810000 0.009654855
0.004600000 0.007671345
0.001740000 0.004375890
0.000280000 0.001573722
0.000020000 0.000359724
0.000000000 0.000000000
0.000020000 -0.000362413
0.000280000 -0.001613037
0.001740000 -0.004485393
0.004600000 -0.007726813
0.006810000 -0.009628003
0.013840000 -0.014271422
0.019250000 -0.017087970
0.026190000 -0.020141778
0.034520000 -0.023236539
0.064600000 -0.031327489
0.075560000 -0.033523445
0.098250000 -0.037200067
0.121660000 -0.040057015
0.133550000 -0.041239281
0.145540000 -0.042259493
0.157620000 -0.043151337
0.206520000 -0.045537449
0.218850000 -0.045887417
0.231220000 -0.046151324
0.243620000 -0.046347294
0.256040000 -0.046466890
0.268480000 -0.046519129
0.293420000 -0.046433454
0.330930000 -0.045913742
0.343460000 -0.045642579
0.355990000 -0.045333960
0.368530000 -0.044978248
0.381080000 -0.044584555
0.406200000 -0.043684147
0.431320000 -0.042643915
0.469040000 -0.040856526
0.481620000 -0.040201824
0.494200000 -0.039519365
0.506780000 -0.038809489
0.544550000 -0.036542883
0.557150000 -0.035741713
0.569750000 -0.034922484
0.594950000 -0.033229787
0.607560000 -0.032356379
0.620170000 -0.031474262
0.658010000 -0.028729630
0.670630000 -0.027785453
0.683250000 -0.026832876
0.695870000 -0.025871831
0.721120000 -0.023924206
0.733740000 -0.022937692
0.771600000 -0.019928245
0.784220000 -0.018908347
0.796830000 -0.017879848
0.809440000 -0.016843768
0.822060000 -0.015798900
0.847280000 -0.013638106
0.885150000 -0.010288650
0.897780000 -0.009149390
0.923070000 -0.006829438
0.935710000 -0.005651108
0.948330000 -0.004477551
0.960910000 -0.003320829
1.000000000 0.001718381
