PrandtlRib11 airfoil
1.000000000 0.010883814
0.960910000 0.012581829
0.948330000 0.013447440
0.935710000 0.014596683
0.923070000 0.015992841
0.897780000 0.019114510
0.885150000 0.020796048
0.847280000 0.026614409
0.822060000 0.030639189
0.809440000 0.032666832
0.796830000 0.034674923
0.784220000 0.036668254
0.771600000 0.038651139
0.733740000 0.044512531
0.721120000 0.046431313
0.695870000 0.050218210
0.683250000 0.052080301
0.670630000 0.053922165
0.658010000 0.055740148
0.620170000 0.061028768
0.607560000 0.062726484
0.594950000 0.064384260
0.569750000 0.067574732
0.557150000 0.069090599
0.544550000 0.070557645
0.506780000 0.074544484
0.494200000 0.075716562
0.481620000 0.076818093
0.469040000 0.077825215
0.431320000 0.080291940
0.406200000 0.081468598
0.381080000 0.082196647
0.368530000 0.082378983
0.355990000 0.082440117
0.343460000 0.082433042
0.330930000 0.082328978
0.293420000 0.081117645
0.268480000 0.079707355
0.256040000 0.078806004
0.243620000 0.077795217
0.231220000 0.076645737
0.218850000 0.075374572
0.206520000 0.073956694
0.157620000 0.066814552
0.145540000 0.064617509
0.133550000 0.062250169
0.121660000 0.059684110
0.098250000 0.053899480
0.075560000 0.047162619
0.064600000 0.043415250
0.034520000 0.030339374
0.026190000 0.025943736
0.019250000 0.021627473
0.013840000 0.017376345
0.006810000 0.010508553
0.004600000 0.008043451
0.001740000 0.004608898
0.000280000 0.001247217
0.000020000 0.000177239
0.000000000 0.000000000
0.000020000 -0.000204132
0.000280000 -0.001640366
0.001740000 -0.005703934
0.004600000 -0.008598132
0.006810000 -0.010240032
0.013840000 -0.014014224
0.019250000 -0.016259701
0.026190000 -0.018717785
0.034520000 -0.021135385
0.064600000 -0.026534894
0.075560000 -0.027884452
0.098250000 -0.029910668
0.121660000 -0.031300148
0.133550000 -0.031782807
0.145540000 -0.032174930
0.157620000 -0.032453372
0.206520000 -0.032734489
0.218850000 -0.032634172
0.231220000 -0.032483241
0.243620000 -0.032282940
0.256040000 -0.032038903
0.268480000 -0.031751290
0.293420000 -0.031074542
0.330930000 -0.029837418
0.343460000 -0.029375790
0.355990000 -0.028899597
0.368530000 -0.028402480
0.381080000 -0.027885553
0.406200000 -0.026801471
0.431320000 -0.025669149
0.469040000 -0.023905263
0.481620000 -0.023298238
0.494200000 -0.022683654
0.506780000 -0.022064893
0.544550000 -0.020188830
0.557150000 -0.019557132
0.569750000 -0.018924838
0.594950000 -0.017657869
0.607560000 -0.017023786
0.620170000 -0.016392619
0.658010000 -0.014506302
0.670630000 -0.013884534
0.683250000 -0.013268759
0.695870000 -0.012658310
0.721120000 -0.011452063
0.733740000 -0.010856916
0.771600000 -0.009112450
0.784220000 -0.008543471
0.796830000 -0.007978477
0.809440000 -0.007427678
0.822060000 -0.006878998
0.847280000 -0.005431059
0.885150000 -0.002626495
0.897780000 -0.001583897
0.923070000 0.000915623
0.935710000 0.002348916
0.948330000 0.003824486
0.960910000 0.005311710
1.000000000 0.010883814
