PrandtlRib14 airfoil
1.000000000 0.009356242
0.960910000 0.011336555
0.948330000 0.012240324
0.935710000 0.013388181
0.923070000 0.014747415
0.897780000 0.017745833
0.885150000 0.019347641
0.847280000 0.024804747
0.822060000 0.028561810
0.809440000 0.030450308
0.796830000 0.032320685
0.784220000 0.034177016
0.771600000 0.036022968
0.733740000 0.041477651
0.721120000 0.043263116
0.695870000 0.046786478
0.683250000 0.048519256
0.670630000 0.050233340
0.658010000 0.051925626
0.620170000 0.056846953
0.607560000 0.058426512
0.594950000 0.059970621
0.569750000 0.062943522
0.557150000 0.064358009
0.544550000 0.065727998
0.506780000 0.069463312
0.494200000 0.070567578
0.481620000 0.071607379
0.469040000 0.072562433
0.431320000 0.074927649
0.406200000 0.076082308
0.381080000 0.076833150
0.368530000 0.077045136
0.355990000 0.077148099
0.343460000 0.077185586
0.330930000 0.077134631
0.293420000 0.076170998
0.268480000 0.074975252
0.256040000 0.074195604
0.243620000 0.073312435
0.231220000 0.072299377
0.218850000 0.071172387
0.206520000 0.069907190
0.157620000 0.063443369
0.145540000 0.061431882
0.133550000 0.059256143
0.121660000 0.056885994
0.098250000 0.051516058
0.075560000 0.045210726
0.064600000 0.041681962
0.034520000 0.029308968
0.026190000 0.025097176
0.019250000 0.020960352
0.013840000 0.016914893
0.006810000 0.010366270
0.004600000 0.007981433
0.001740000 0.004570063
0.000280000 0.001301634
0.000020000 0.000207653
0.000000000 0.000000000
0.000020000 -0.000230512
0.000280000 -0.001635811
0.001740000 -0.005500844
0.004600000 -0.008452912
0.006810000 -0.010138028
0.013840000 -0.014057091
0.019250000 -0.016397746
0.026190000 -0.018955117
0.034520000 -0.021485577
0.064600000 -0.027333660
0.075560000 -0.028824284
0.098250000 -0.031125568
0.121660000 -0.032759626
0.133550000 -0.033358886
0.145540000 -0.033855690
0.157620000 -0.034236366
0.206520000 -0.034868316
0.218850000 -0.034843046
0.231220000 -0.034761255
0.243620000 -0.034626999
0.256040000 -0.034443567
0.268480000 -0.034212596
0.293420000 -0.033634361
0.330930000 -0.032516805
0.343460000 -0.032086921
0.355990000 -0.031638658
0.368530000 -0.031165108
0.381080000 -0.030668720
0.406200000 -0.029615250
0.431320000 -0.028498277
0.469040000 -0.026730473
0.481620000 -0.026115503
0.494200000 -0.025489606
0.506780000 -0.024855659
0.544550000 -0.022914506
0.557150000 -0.022254563
0.569750000 -0.021591112
0.594950000 -0.020253188
0.607560000 -0.019579218
0.620170000 -0.018906226
0.658010000 -0.016876857
0.670630000 -0.016201354
0.683250000 -0.015529445
0.695870000 -0.014860564
0.721120000 -0.013530754
0.733740000 -0.012870378
0.771600000 -0.010915082
0.784220000 -0.010270950
0.796830000 -0.009628706
0.809440000 -0.008997026
0.822060000 -0.008365649
0.847280000 -0.006798900
0.885150000 -0.003903521
0.897780000 -0.002844813
0.923070000 -0.000375221
0.935710000 0.001015579
0.948330000 0.002440813
0.960910000 0.003872954
1.000000000 0.009356242
