PrandtlRib4 airfoil
1.000000000 0.014448149
0.960910000 0.015487470
0.948330000 0.016264044
0.935710000 0.017416522
0.923070000 0.018898835
0.897780000 0.022308088
0.885150000 0.024175665
0.847280000 0.030836952
0.822060000 0.035486405
0.809440000 0.037838724
0.796830000 0.040168146
0.784220000 0.042481143
0.771600000 0.044783538
0.733740000 0.051593917
0.721120000 0.053823773
0.695870000 0.058225583
0.683250000 0.060389407
0.670630000 0.062529423
0.658010000 0.064640700
0.620170000 0.070786337
0.607560000 0.072759754
0.594950000 0.074682751
0.569750000 0.078380889
0.557150000 0.080133308
0.544550000 0.081826820
0.506780000 0.086400554
0.494200000 0.087730859
0.481620000 0.088976426
0.469040000 0.090105040
0.431320000 0.092808619
0.406200000 0.094036607
0.381080000 0.094711473
0.368530000 0.094824627
0.355990000 0.094788158
0.343460000 0.094677107
0.330930000 0.094449120
0.293420000 0.092659820
0.268480000 0.090748930
0.256040000 0.089563606
0.243620000 0.088255043
0.231220000 0.086787245
0.218850000 0.085179673
0.206520000 0.083405537
0.157620000 0.074680645
0.145540000 0.072050636
0.133550000 0.069236228
0.121660000 0.066213049
0.098250000 0.059460798
0.075560000 0.051717035
0.064600000 0.047459587
0.034520000 0.032743655
0.026190000 0.027919044
0.019250000 0.023184089
0.013840000 0.018453066
0.006810000 0.010840546
0.004600000 0.008188158
0.001740000 0.004699512
0.000280000 0.001120243
0.000020000 0.000106272
0.000000000 0.000000000
0.000020000 -0.000142579
0.000280000 -0.001650994
0.001740000 -0.006177811
0.004600000 -0.008936978
0.006810000 -0.010478044
0.013840000 -0.013914203
0.019250000 -0.015937596
0.026190000 -0.018164010
0.034520000 -0.020318270
0.064600000 -0.024671107
0.075560000 -0.025691510
0.098250000 -0.027075902
0.121660000 -0.027894700
0.133550000 -0.028105289
0.145540000 -0.028253155
0.157620000 -0.028293053
0.206520000 -0.027755560
0.218850000 -0.027480132
0.231220000 -0.027167875
0.243620000 -0.026813469
0.256040000 -0.026428019
0.268480000 -0.026008241
0.293420000 -0.025101631
0.330930000 -0.023585514
0.343460000 -0.023049816
0.355990000 -0.022508457
0.368530000 -0.021956348
0.381080000 -0.021391497
0.406200000 -0.020235985
0.431320000 -0.019067851
0.469040000 -0.017313105
0.481620000 -0.016724622
0.494200000 -0.016136433
0.506780000 -0.015553105
0.544550000 -0.013828921
0.557150000 -0.013263129
0.569750000 -0.012703531
0.594950000 -0.011602123
0.607560000 -0.011061111
0.620170000 -0.010527535
0.658010000 -0.008975008
0.670630000 -0.008478621
0.683250000 -0.007993824
0.695870000 -0.007519719
0.721120000 -0.006601786
0.733740000 -0.006158836
0.771600000 -0.004906307
0.784220000 -0.004512686
0.796830000 -0.004127944
0.809440000 -0.003765865
0.822060000 -0.003410148
0.847280000 -0.002239430
0.885150000 0.000353231
0.897780000 0.001358239
0.923070000 0.003927591
0.935710000 0.005460037
0.948330000 0.007053056
0.960910000 0.008668809
1.000000000 0.014448149
