PrandtlRib13 airfoil
1.000000000 0.009865433
0.960910000 0.011751646
0.948330000 0.012642696
0.935710000 0.013791015
0.923070000 0.015162557
0.897780000 0.018202059
0.885150000 0.019830443
0.847280000 0.025407968
0.822060000 0.029254270
0.809440000 0.031189149
0.796830000 0.033105431
0.784220000 0.035007428
0.771600000 0.036899025
0.733740000 0.042489278
0.721120000 0.044319182
0.695870000 0.047930389
0.683250000 0.049706271
0.670630000 0.051462949
0.658010000 0.053197133
0.620170000 0.058240891
0.607560000 0.059859836
0.594950000 0.061441834
0.569750000 0.064487259
0.557150000 0.065935539
0.544550000 0.067337880
0.506780000 0.071157036
0.494200000 0.072283906
0.481620000 0.073344284
0.469040000 0.074316693
0.431320000 0.076715746
0.406200000 0.077877738
0.381080000 0.078620982
0.368530000 0.078823085
0.355990000 0.078912105
0.343460000 0.078934738
0.330930000 0.078866080
0.293420000 0.077819880
0.268480000 0.076552620
0.256040000 0.075732404
0.243620000 0.074806695
0.231220000 0.073748163
0.218850000 0.072573115
0.206520000 0.071257025
0.157620000 0.064567097
0.145540000 0.062493758
0.133550000 0.060254152
0.121660000 0.057818699
0.098250000 0.052310532
0.075560000 0.045861357
0.064600000 0.042259725
0.034520000 0.029652436
0.026190000 0.025379362
0.019250000 0.021182726
0.013840000 0.017068710
0.006810000 0.010413697
0.004600000 0.008002106
0.001740000 0.004583008
0.000280000 0.001283495
0.000020000 0.000197515
0.000000000 0.000000000
0.000020000 -0.000221719
0.000280000 -0.001637330
0.001740000 -0.005568540
0.004600000 -0.008501318
0.006810000 -0.010172029
0.013840000 -0.014042802
0.019250000 -0.016351731
0.026190000 -0.018876006
0.034520000 -0.021368847
0.064600000 -0.027067405
0.075560000 -0.028511006
0.098250000 -0.030720602
0.121660000 -0.032273133
0.133550000 -0.032833526
0.145540000 -0.033295437
0.157620000 -0.033642035
0.206520000 -0.034157040
0.218850000 -0.034106754
0.231220000 -0.034001917
0.243620000 -0.033845646
0.256040000 -0.033642012
0.268480000 -0.033392161
0.293420000 -0.032781088
0.330930000 -0.031623676
0.343460000 -0.031183211
0.355990000 -0.030725638
0.368530000 -0.030244232
0.381080000 -0.029740998
0.406200000 -0.028677324
0.431320000 -0.027555234
0.469040000 -0.025788737
0.481620000 -0.025176415
0.494200000 -0.024554289
0.506780000 -0.023925404
0.544550000 -0.022005947
0.557150000 -0.021355419
0.569750000 -0.020702354
0.594950000 -0.019388082
0.607560000 -0.018727407
0.620170000 -0.018068357
0.658010000 -0.016086672
0.670630000 -0.015429080
0.683250000 -0.014775883
0.695870000 -0.014126479
0.721120000 -0.012837857
0.733740000 -0.012199224
0.771600000 -0.010314205
0.784220000 -0.009695124
0.796830000 -0.009078630
0.809440000 -0.008473910
0.822060000 -0.007870098
0.847280000 -0.006342953
0.885150000 -0.003477846
0.897780000 -0.002424508
0.923070000 0.000055060
0.935710000 0.001460025
0.948330000 0.002902038
0.960910000 0.004352539
1.000000000 0.009865433
