PrandtlRib28 airfoil
1.000000000 0.002227572
0.960910000 0.005525274
0.948330000 0.006607116
0.935710000 0.007748502
0.923070000 0.008935426
0.897780000 0.011358676
0.885150000 0.012588407
0.847280000 0.016359661
0.822060000 0.018867378
0.809440000 0.020106525
0.796830000 0.021334238
0.784220000 0.022551238
0.771600000 0.023758171
0.733740000 0.027314880
0.721120000 0.028478197
0.695870000 0.030771731
0.683250000 0.031901045
0.670630000 0.033018825
0.658010000 0.034124522
0.620170000 0.037331815
0.607560000 0.038359973
0.594950000 0.039373639
0.569750000 0.041331210
0.557150000 0.042272590
0.544550000 0.043189647
0.506780000 0.045751173
0.494200000 0.046538984
0.481620000 0.047290714
0.469040000 0.048002782
0.431320000 0.049894291
0.406200000 0.050946290
0.381080000 0.051803497
0.368530000 0.052153847
0.355990000 0.052452018
0.343460000 0.052697456
0.330930000 0.052894347
0.293420000 0.053086647
0.268480000 0.052892103
0.256040000 0.052680401
0.243620000 0.052392783
0.231220000 0.052016361
0.218850000 0.051562186
0.206520000 0.051009504
0.157620000 0.047711183
0.145540000 0.046565626
0.133550000 0.045284025
0.121660000 0.043828117
0.098250000 0.040393422
0.075560000 0.036101893
0.064600000 0.033593287
0.034520000 0.024500406
0.026190000 0.021146560
0.019250000 0.017847121
0.013840000 0.014761452
0.006810000 0.009702283
0.004600000 0.007692018
0.001740000 0.004388835
0.000280000 0.001555583
0.000020000 0.000349586
0.000000000 0.000000000
0.000020000 -0.000353620
0.000280000 -0.001614555
0.001740000 -0.004553090
0.004600000 -0.007775220
0.006810000 -0.009662005
0.013840000 -0.014257134
0.019250000 -0.017041955
0.026190000 -0.020062668
0.034520000 -0.023119808
0.064600000 -0.031061234
0.075560000 -0.033210168
0.098250000 -0.036795100
0.121660000 -0.039570522
0.133550000 -0.040713921
0.145540000 -0.041699239
0.157620000 -0.042557006
0.206520000 -0.044826173
0.218850000 -0.045151126
0.231220000 -0.045391986
0.243620000 -0.045565941
0.256040000 -0.045665335
0.268480000 -0.045698693
0.293420000 -0.045580181
0.330930000 -0.045020613
0.343460000 -0.044738868
0.355990000 -0.044420940
0.368530000 -0.044057372
0.381080000 -0.043656833
0.406200000 -0.042746221
0.431320000 -0.041700872
0.469040000 -0.039914789
0.481620000 -0.039262736
0.494200000 -0.038584048
0.506780000 -0.037879234
0.544550000 -0.035634325
0.557150000 -0.034842570
0.569750000 -0.034033726
0.594950000 -0.032364680
0.607560000 -0.031504568
0.620170000 -0.030636393
0.658010000 -0.027939445
0.670630000 -0.027013180
0.683250000 -0.026079314
0.695870000 -0.025137747
0.721120000 -0.023231310
0.733740000 -0.022266537
0.771600000 -0.019327367
0.784220000 -0.018332521
0.796830000 -0.017329772
0.809440000 -0.016320652
0.822060000 -0.015303350
0.847280000 -0.013182159
0.885150000 -0.009862974
0.897780000 -0.008729085
0.923070000 -0.006399157
0.935710000 -0.005206663
0.948330000 -0.004016327
0.960910000 -0.002841243
1.000000000 0.002227572
