PrandtlRib5 airfoil
1.000000000 0.013938958
0.960910000 0.015072378
0.948330000 0.015861672
0.935710000 0.017013688
0.923070000 0.018483693
0.897780000 0.021851863
0.885150000 0.023692863
0.847280000 0.030233731
0.822060000 0.034793945
0.809440000 0.037099882
0.796830000 0.039383400
0.784220000 0.041650730
0.771600000 0.043907481
0.733740000 0.050582290
0.721120000 0.052767707
0.695870000 0.057081673
0.683250000 0.059202392
0.670630000 0.061299815
0.658010000 0.063369192
0.620170000 0.069392398
0.607560000 0.071326430
0.594950000 0.073211538
0.569750000 0.076837152
0.557150000 0.078555778
0.544550000 0.080216938
0.506780000 0.084706829
0.494200000 0.086014531
0.481620000 0.087239521
0.469040000 0.088350779
0.431320000 0.091020522
0.406200000 0.092241178
0.381080000 0.092923641
0.368530000 0.093046678
0.355990000 0.093024152
0.343460000 0.092927954
0.330930000 0.092717671
0.293420000 0.091010938
0.268480000 0.089171562
0.256040000 0.088026805
0.243620000 0.086760782
0.231220000 0.085338458
0.218850000 0.083778944
0.206520000 0.082055702
0.157620000 0.073556917
0.145540000 0.070988761
0.133550000 0.068238219
0.121660000 0.065280344
0.098250000 0.058666324
0.075560000 0.051066404
0.064600000 0.046881825
0.034520000 0.032400186
0.026190000 0.027636857
0.019250000 0.022961715
0.013840000 0.018299248
0.006810000 0.010793118
0.004600000 0.008167486
0.001740000 0.004686567
0.000280000 0.001138382
0.000020000 0.000116410
0.000000000 0.000000000
0.000020000 -0.000151372
0.000280000 -0.001649476
0.001740000 -0.006110114
0.004600000 -0.008888571
0.006810000 -0.010444042
0.013840000 -0.013928492
0.019250000 -0.015983611
0.026190000 -0.018243120
0.034520000 -0.020435001
0.064600000 -0.024937362
0.075560000 -0.026004787
0.098250000 -0.027480869
0.121660000 -0.028381192
0.133550000 -0.028630648
0.145540000 -0.028813408
0.157620000 -0.028887384
0.206520000 -0.028466836
0.218850000 -0.028216423
0.231220000 -0.027927213
0.243620000 -0.027594822
0.256040000 -0.027229573
0.268480000 -0.026828676
0.293420000 -0.025954904
0.330930000 -0.024478643
0.343460000 -0.023953527
0.355990000 -0.023421477
0.368530000 -0.022877224
0.381080000 -0.022319219
0.406200000 -0.021173912
0.431320000 -0.020010894
0.469040000 -0.018254842
0.481620000 -0.017663710
0.494200000 -0.017071750
0.506780000 -0.016483361
0.544550000 -0.014737480
0.557150000 -0.014162272
0.569750000 -0.013592289
0.594950000 -0.012467229
0.607560000 -0.011912921
0.620170000 -0.011365404
0.658010000 -0.009765193
0.670630000 -0.009250894
0.683250000 -0.008747386
0.695870000 -0.008253803
0.721120000 -0.007294682
0.733740000 -0.006829990
0.771600000 -0.005507185
0.784220000 -0.005088512
0.796830000 -0.004678021
0.809440000 -0.004288981
0.822060000 -0.003905698
0.847280000 -0.002695377
0.885150000 -0.000072444
0.897780000 0.000937934
0.923070000 0.003497310
0.935710000 0.005015591
0.948330000 0.006591832
0.960910000 0.008189223
1.000000000 0.013938958
