PrandtlRib1 airfoil
1.000000000 0.015975721
0.960910000 0.016732744
0.948330000 0.017471160
0.935710000 0.018625025
0.923070000 0.020144261
0.897780000 0.023676764
0.885150000 0.025624072
0.847280000 0.032646613
0.822060000 0.037563783
0.809440000 0.040055249
0.796830000 0.042522385
0.784220000 0.044972381
0.771600000 0.047411709
0.733740000 0.054628797
0.721120000 0.056991970
0.695870000 0.061657314
0.683250000 0.063950452
0.670630000 0.066218248
0.658010000 0.068455222
0.620170000 0.074968152
0.607560000 0.077059726
0.594950000 0.079096390
0.569750000 0.083012099
0.557150000 0.084865898
0.544550000 0.086656467
0.506780000 0.091481726
0.494200000 0.092879843
0.481620000 0.094187140
0.469040000 0.095367822
0.431320000 0.098172910
0.406200000 0.099422897
0.381080000 0.100074970
0.368530000 0.100158475
0.355990000 0.100080175
0.343460000 0.099924563
0.330930000 0.099643467
0.293420000 0.097606467
0.268480000 0.095481033
0.256040000 0.094174006
0.243620000 0.092737826
0.231220000 0.091133606
0.218850000 0.089381859
0.206520000 0.087455041
0.157620000 0.078051828
0.145540000 0.075236263
0.133550000 0.072230253
0.121660000 0.069011166
0.098250000 0.061844221
0.075560000 0.053668928
0.064600000 0.049192875
0.034520000 0.033774061
0.026190000 0.028765604
0.019250000 0.023851210
0.013840000 0.018914517
0.006810000 0.010982829
0.004600000 0.008250176
0.001740000 0.004738347
0.000280000 0.001065825
0.000020000 0.000075858
0.000000000 0.000000000
0.000020000 -0.000116198
0.000280000 -0.001655549
0.001740000 -0.006380901
0.004600000 -0.009082197
0.006810000 -0.010580049
0.013840000 -0.013871337
0.019250000 -0.015799551
0.026190000 -0.017926677
0.034520000 -0.019968078
0.064600000 -0.023872341
0.075560000 -0.024751677
0.098250000 -0.025861003
0.121660000 -0.026435222
0.133550000 -0.026529210
0.145540000 -0.026572394
0.157620000 -0.026510058
0.206520000 -0.025621734
0.218850000 -0.025271257
0.231220000 -0.024889861
0.243620000 -0.024469410
0.256040000 -0.024023354
0.268480000 -0.023546934
0.293420000 -0.022541813
0.330930000 -0.020906127
0.343460000 -0.020338685
0.355990000 -0.019769396
0.368530000 -0.019193720
0.381080000 -0.018608330
0.406200000 -0.017422206
0.431320000 -0.016238723
0.469040000 -0.014487894
0.481620000 -0.013907358
0.494200000 -0.013330481
0.506780000 -0.012762339
0.544550000 -0.011103246
0.557150000 -0.010565699
0.569750000 -0.010037256
0.594950000 -0.009006803
0.607560000 -0.008505679
0.620170000 -0.008013928
0.658010000 -0.006604454
0.670630000 -0.006161801
0.683250000 -0.005733138
0.695870000 -0.005317465
0.721120000 -0.004523095
0.733740000 -0.004145373
0.771600000 -0.003103675
0.784220000 -0.002785206
0.796830000 -0.002477716
0.809440000 -0.002196516
0.822060000 -0.001923497
0.847280000 -0.000871589
0.885150000 0.001630257
0.897780000 0.002619154
0.923070000 0.005218434
0.935710000 0.006793375
0.948330000 0.008436729
0.960910000 0.010107565
1.000000000 0.015975721
