PrandtlRib21 airfoil
1.000000000 0.005791907
0.960910000 0.008430915
0.948330000 0.009423720
0.935710000 0.010568342
0.923070000 0.011841420
0.897780000 0.014552255
0.885150000 0.015968024
0.847280000 0.020582204
0.822060000 0.023714594
0.809440000 0.025278416
0.796830000 0.026827462
0.784220000 0.028364127
0.771600000 0.029890570
0.733740000 0.034396266
0.721120000 0.035870657
0.695870000 0.038779105
0.683250000 0.040210151
0.670630000 0.041626083
0.658010000 0.043025074
0.620170000 0.047089384
0.607560000 0.048393242
0.594950000 0.049672130
0.569750000 0.052137366
0.557150000 0.053315299
0.544550000 0.054458822
0.506780000 0.057607242
0.494200000 0.058553281
0.481620000 0.059449047
0.469040000 0.060282607
0.431320000 0.062410970
0.406200000 0.063514299
0.381080000 0.064318323
0.368530000 0.064599492
0.355990000 0.064800058
0.343460000 0.064941521
0.330930000 0.065014489
0.293420000 0.064628822
0.268480000 0.063933678
0.256040000 0.063438002
0.243620000 0.062852609
0.231220000 0.062157869
0.218850000 0.061367286
0.206520000 0.060458347
0.157620000 0.055577276
0.145540000 0.053998754
0.133550000 0.052270084
0.121660000 0.050357055
0.098250000 0.045954740
0.075560000 0.040656309
0.064600000 0.037637625
0.034520000 0.026904687
0.026190000 0.023121868
0.019250000 0.019403737
0.013840000 0.015838172
0.006810000 0.010034276
0.004600000 0.007836725
0.001740000 0.004479449
0.000280000 0.001428608
0.000020000 0.000278619
0.000000000 0.000000000
0.000020000 -0.000292066
0.000280000 -0.001625183
0.001740000 -0.005026967
0.004600000 -0.008114066
0.006810000 -0.009900016
0.013840000 -0.014157112
0.019250000 -0.016719850
0.026190000 -0.019508892
0.034520000 -0.022302693
0.064600000 -0.029197447
0.075560000 -0.031017226
0.098250000 -0.033960334
0.121660000 -0.036165074
0.133550000 -0.037036403
0.145540000 -0.037777465
0.157620000 -0.038396686
0.206520000 -0.039847245
0.218850000 -0.039997086
0.231220000 -0.040076620
0.243620000 -0.040096470
0.256040000 -0.040054451
0.268480000 -0.039955645
0.293420000 -0.039607271
0.330930000 -0.038768709
0.343460000 -0.038412895
0.355990000 -0.038029799
0.368530000 -0.037611240
0.381080000 -0.037162777
0.406200000 -0.036180735
0.431320000 -0.035099574
0.469040000 -0.033322631
0.481620000 -0.032689119
0.494200000 -0.032036827
0.506780000 -0.031367446
0.544550000 -0.029274415
0.557150000 -0.028548566
0.569750000 -0.027812419
0.594950000 -0.026308934
0.607560000 -0.025541893
0.620170000 -0.024771309
0.658010000 -0.022408151
0.670630000 -0.021607267
0.683250000 -0.020804379
0.695870000 -0.019999155
0.721120000 -0.018381032
0.733740000 -0.017568458
0.771600000 -0.015121225
0.784220000 -0.014301735
0.796830000 -0.013479239
0.809440000 -0.012658839
0.822060000 -0.011834499
0.847280000 -0.009990530
0.885150000 -0.006883248
0.897780000 -0.005786949
0.923070000 -0.003387189
0.935710000 -0.002095542
0.948330000 -0.000787757
0.960910000 0.000515855
1.000000000 0.005791907
