PrandtlRib8 airfoil
1.000000000 0.012411386
0.960910000 0.013827104
0.948330000 0.014654556
0.935710000 0.015805186
0.923070000 0.017238267
0.897780000 0.020483186
0.885150000 0.022244455
0.847280000 0.028424070
0.822060000 0.032716567
0.809440000 0.034883357
0.796830000 0.037029162
0.784220000 0.039159492
0.771600000 0.041279310
0.733740000 0.047547411
0.721120000 0.049599510
0.695870000 0.053649941
0.683250000 0.055641346
0.670630000 0.057610990
0.658010000 0.059554670
0.620170000 0.065210583
0.607560000 0.067026457
0.594950000 0.068797899
0.569750000 0.072205942
0.557150000 0.073823188
0.544550000 0.075387291
0.506780000 0.079625657
0.494200000 0.080865547
0.481620000 0.082028807
0.469040000 0.083087997
0.431320000 0.085656231
0.406200000 0.086854888
0.381080000 0.087560144
0.368530000 0.087712831
0.355990000 0.087732134
0.343460000 0.087680498
0.330930000 0.087523325
0.293420000 0.086064291
0.268480000 0.084439459
0.256040000 0.083416405
0.243620000 0.082278000
0.231220000 0.080992098
0.218850000 0.079576758
0.206520000 0.078006198
0.157620000 0.070185735
0.145540000 0.067803135
0.133550000 0.065244194
0.121660000 0.062482227
0.098250000 0.056282902
0.075560000 0.049114511
0.064600000 0.045148537
0.034520000 0.031369780
0.026190000 0.026790296
0.019250000 0.022294594
0.013840000 0.017837797
0.006810000 0.010650835
0.004600000 0.008105468
0.001740000 0.004647732
0.000280000 0.001192799
0.000020000 0.000146824
0.000000000 0.000000000
0.000020000 -0.000177752
0.000280000 -0.001644921
0.001740000 -0.005907024
0.004600000 -0.008743351
0.006810000 -0.010342037
0.013840000 -0.013971358
0.019250000 -0.016121656
0.026190000 -0.018480453
0.034520000 -0.020785193
0.064600000 -0.025736128
0.075560000 -0.026944619
0.098250000 -0.028695769
0.121660000 -0.029840670
0.133550000 -0.030206727
0.145540000 -0.030494169
0.157620000 -0.030670378
0.206520000 -0.030600662
0.218850000 -0.030425297
0.231220000 -0.030205227
0.243620000 -0.029938881
0.256040000 -0.029634238
0.268480000 -0.029289983
0.293420000 -0.028514723
0.330930000 -0.027158031
0.343460000 -0.026664658
0.355990000 -0.026160537
0.368530000 -0.025639852
0.381080000 -0.025102386
0.406200000 -0.023987691
0.431320000 -0.022840021
0.469040000 -0.021080052
0.481620000 -0.020480974
0.494200000 -0.019877702
0.506780000 -0.019274127
0.544550000 -0.017463155
0.557150000 -0.016859702
0.569750000 -0.016258563
0.594950000 -0.015062549
0.607560000 -0.014468354
0.620170000 -0.013879012
0.658010000 -0.012135748
0.670630000 -0.011567714
0.683250000 -0.011008072
0.695870000 -0.010456057
0.721120000 -0.009373373
0.733740000 -0.008843453
0.771600000 -0.007309817
0.784220000 -0.006815991
0.796830000 -0.006328249
0.809440000 -0.005858329
0.822060000 -0.005392348
0.847280000 -0.004063218
0.885150000 -0.001349470
0.897780000 -0.000322982
0.923070000 0.002206466
0.935710000 0.003682254
0.948330000 0.005208159
0.960910000 0.006750467
1.000000000 0.012411386
