PrandtlRib10 airfoil
1.000000000 0.011393005
0.960910000 0.012996921
0.948330000 0.013849812
0.935710000 0.014999517
0.923070000 0.016407983
0.897780000 0.019570735
0.885150000 0.021278851
0.847280000 0.027217629
0.822060000 0.031331648
0.809440000 0.033405674
0.796830000 0.035459669
0.784220000 0.037498667
0.771600000 0.039527196
0.733740000 0.045524158
0.721120000 0.047487379
0.695870000 0.051362120
0.683250000 0.053267316
0.670630000 0.055151773
0.658010000 0.057011655
0.620170000 0.062422706
0.607560000 0.064159809
0.594950000 0.065855473
0.569750000 0.069118469
0.557150000 0.070668128
0.544550000 0.072167527
0.506780000 0.076238208
0.494200000 0.077432890
0.481620000 0.078554998
0.469040000 0.079579475
0.431320000 0.082080037
0.406200000 0.083264028
0.381080000 0.083984479
0.368530000 0.084156932
0.355990000 0.084204123
0.343460000 0.084182194
0.330930000 0.084060427
0.293420000 0.082766527
0.268480000 0.081284723
0.256040000 0.080342804
0.243620000 0.079289478
0.231220000 0.078094524
0.218850000 0.076775301
0.206520000 0.075306529
0.157620000 0.067938279
0.145540000 0.065679384
0.133550000 0.063248177
0.121660000 0.060616816
0.098250000 0.054693954
0.075560000 0.047813250
0.064600000 0.043993012
0.034520000 0.030682843
0.026190000 0.026225923
0.019250000 0.021849847
0.013840000 0.017530162
0.006810000 0.010555980
0.004600000 0.008064123
0.001740000 0.004621843
0.000280000 0.001229078
0.000020000 0.000167101
0.000000000 0.000000000
0.000020000 -0.000195339
0.000280000 -0.001641885
0.001740000 -0.005771630
0.004600000 -0.008646538
0.006810000 -0.010274034
0.013840000 -0.013999936
0.019250000 -0.016213686
0.026190000 -0.018638674
0.034520000 -0.021018654
0.064600000 -0.026268639
0.075560000 -0.027571174
0.098250000 -0.029505702
0.121660000 -0.030813655
0.133550000 -0.031257447
0.145540000 -0.031614676
0.157620000 -0.031859041
0.206520000 -0.032023213
0.218850000 -0.031897880
0.231220000 -0.031723903
0.243620000 -0.031501587
0.256040000 -0.031237348
0.268480000 -0.030930854
0.293420000 -0.030221269
0.330930000 -0.028944289
0.343460000 -0.028472079
0.355990000 -0.027986577
0.368530000 -0.027481604
0.381080000 -0.026957831
0.406200000 -0.025863544
0.431320000 -0.024726106
0.469040000 -0.022963526
0.481620000 -0.022359150
0.494200000 -0.021748337
0.506780000 -0.021134638
0.544550000 -0.019280272
0.557150000 -0.018657989
0.569750000 -0.018036079
0.594950000 -0.016792762
0.607560000 -0.016171975
0.620170000 -0.015554750
0.658010000 -0.013716118
0.670630000 -0.013112261
0.683250000 -0.012515196
0.695870000 -0.011924226
0.721120000 -0.010759167
0.733740000 -0.010185761
0.771600000 -0.008511572
0.784220000 -0.007967644
0.796830000 -0.007428401
0.809440000 -0.006904561
0.822060000 -0.006383448
0.847280000 -0.004975112
0.885150000 -0.002200820
0.897780000 -0.001163592
0.923070000 0.001345904
0.935710000 0.002793362
0.948330000 0.004285711
0.960910000 0.005791296
1.000000000 0.011393005
