PrandtlRib30 airfoil
1.000000000 0.001209191
0.960910000 0.004695091
0.948330000 0.005802372
0.935710000 0.006942834
0.923070000 0.008105142
0.897780000 0.010446225
0.885150000 0.011622802
0.847280000 0.015153220
0.822060000 0.017482459
0.809440000 0.018628842
0.796830000 0.019764746
0.784220000 0.020890413
0.771600000 0.022006057
0.733740000 0.025291627
0.721120000 0.026366066
0.695870000 0.028483910
0.683250000 0.029527015
0.670630000 0.030559608
0.658010000 0.031581507
0.620170000 0.034543938
0.607560000 0.035493324
0.594950000 0.036431213
0.569750000 0.038243737
0.557150000 0.039117530
0.544550000 0.039969882
0.506780000 0.042363724
0.494200000 0.043106328
0.481620000 0.043816905
0.469040000 0.044494261
0.431320000 0.046318097
0.406200000 0.047355430
0.381080000 0.048227832
0.368530000 0.048597949
0.355990000 0.048924006
0.343460000 0.049199152
0.330930000 0.049431449
0.293420000 0.049788882
0.268480000 0.049737368
0.256040000 0.049606800
0.243620000 0.049404261
0.231220000 0.049118787
0.218850000 0.048760729
0.206520000 0.048309835
0.157620000 0.045463728
0.145540000 0.044441875
0.133550000 0.043288008
0.121660000 0.041962706
0.098250000 0.038804474
0.075560000 0.034800631
0.064600000 0.032437762
0.034520000 0.023813469
0.026190000 0.020582187
0.019250000 0.017402374
0.013840000 0.014453817
0.006810000 0.009607428
0.004600000 0.007650673
0.001740000 0.004362945
0.000280000 0.001591861
0.000020000 0.000369862
0.000000000 0.000000000
0.000020000 -0.000371207
0.000280000 -0.001611518
0.001740000 -0.004417697
0.004600000 -0.007678407
0.006810000 -0.009594002
0.013840000 -0.014285711
0.019250000 -0.017133985
0.026190000 -0.020220889
0.034520000 -0.023353269
0.064600000 -0.031593745
0.075560000 -0.033836723
0.098250000 -0.037605033
0.121660000 -0.040543507
0.133550000 -0.041764640
0.145540000 -0.042819746
0.157620000 -0.043745669
0.206520000 -0.046248724
0.218850000 -0.046623709
0.231220000 -0.046910662
0.243620000 -0.047128647
0.256040000 -0.047268445
0.268480000 -0.047339564
0.293420000 -0.047286727
0.330930000 -0.046806871
0.343460000 -0.046546289
0.355990000 -0.046246980
0.368530000 -0.045899124
0.381080000 -0.045512278
0.406200000 -0.044622074
0.431320000 -0.043586957
0.469040000 -0.041798263
0.481620000 -0.041140912
0.494200000 -0.040454683
0.506780000 -0.039739745
0.544550000 -0.037451442
0.557150000 -0.036640857
0.569750000 -0.035811242
0.594950000 -0.034094893
0.607560000 -0.033208189
0.620170000 -0.032312131
0.658010000 -0.029519815
0.670630000 -0.028557727
0.683250000 -0.027586438
0.695870000 -0.026605916
0.721120000 -0.024617103
0.733740000 -0.023608846
0.771600000 -0.020529122
0.784220000 -0.019484174
0.796830000 -0.018429924
0.809440000 -0.017366884
0.822060000 -0.016294450
0.847280000 -0.014094053
0.885150000 -0.010714325
0.897780000 -0.009569695
0.923070000 -0.007259719
0.935710000 -0.006095554
0.948330000 -0.004938776
0.960910000 -0.003800414
1.000000000 0.001209191
